lat,lon,id,name
-37.825719,144.827408,7859OB_L_P1,Freeway MVT on West Gate Fwy WB between Grieve Pde Off Ramp (ob) & Split To PFW and WRR
-37.82572,144.827465,7859OB_L_P0,Freeway MVT on West Gate Fwy WB between Grieve Pde Off Ramp (ob) & Split To PFW and WRR
-37.825757,144.831424,7857OB_L_P1,Freeway MVT on West Gate Fwy WB between Grieve Pde Off Ramp (ob) & Split To PFW and WRR
-37.825757,144.831493,7857OB_L_P0,Freeway MVT on West Gate Fwy WB between Grieve Pde Off Ramp (ob) & Split To PFW and WRR
-37.825624,144.838565,7855OB_L_P1,Freeway MVT on West Gate Fwy WB between Millers Rd On Ramp (ob) & Grieve Pde Off Ramp (ob)
-37.825622,144.838622,7855OB_L_P0,Freeway MVT on West Gate Fwy WB between Millers Rd On Ramp (ob) & Grieve Pde Off Ramp (ob)
-37.825178,144.844758,7854OB_L_P1,Freeway MVT on West Gate Fwy WB between Millers Rd Off Ramp (ob) & Millers Rd On Ramp (ob)
-37.825173,144.844827,7854OB_L_P0,Freeway MVT on West Gate Fwy WB between Millers Rd Off Ramp (ob) & Millers Rd On Ramp (ob)
-37.824842,144.852422,7853OB_L_P1,Freeway MVT on West Gate Fwy WB between Millers Rd Off Ramp (ob) & Millers Rd On Ramp (ob)
-37.82484,144.85249,7853OB_L_P0,Freeway MVT on West Gate Fwy WB between Millers Rd Off Ramp (ob) & Millers Rd On Ramp (ob)
-37.824687,144.857459,7852OB_L_P1,Freeway MVT on West Gate Fwy WB between Williamstown Rd On Ramp (ob) & Millers Rd Off Ramp (ob)
-37.824685,144.857516,7852OB_L_P0,Freeway MVT on West Gate Fwy WB between Williamstown Rd On Ramp (ob) & Millers Rd Off Ramp (ob)
-37.824531,144.862506,7851OB_L_P1,Freeway MVT on West Gate Fwy WB between Williamstown Rd On Ramp (ob) & Millers Rd Off Ramp (ob)
-37.824529,144.862563,7851OB_L_P0,Freeway MVT on West Gate Fwy WB between Williamstown Rd On Ramp (ob) & Millers Rd Off Ramp (ob)
-37.82456,144.872337,7850OB_L_P1,Freeway MVT on West Gate Fwy WB between Williamstown Rd On Ramp (ob) & Millers Rd Off Ramp (ob)
-37.824564,144.872406,7850OB_L_P0,Freeway MVT on West Gate Fwy WB between Williamstown Rd On Ramp (ob) & Millers Rd Off Ramp (ob)
